1,0,category-parent-000
2,0,category-parent-001
3,0,category-parent-002
4,0,category-parent-003
5,0,category-parent-004
6,0,category-parent-005
7,0,category-parent-006
8,0,category-parent-007
9,0,category-parent-008
10,0,category-parent-009
11,0,category-parent-010
12,0,category-parent-011
16,12,subcategory-level-one-12000
17,11,subcategory-level-one-11000
18,10,subcategory-level-one-10000
19,9,subcategory-level-one-9000
20,8,subcategory-level-one-8000
21,7,subcategory-level-one-7000
22,6,subcategory-level-one-6000
23,5,subcategory-level-one-5000
24,4,subcategory-level-one-4000
25,3,subcategory-level-one-3000
26,2,subcategory-level-one-2000
27,1,subcategory-level-one-1000
28,12,subcategory-level-one-12001
29,11,subcategory-level-one-11001
30,10,subcategory-level-one-10001
31,9,subcategory-level-one-9001
32,8,subcategory-level-one-8001
33,7,subcategory-level-one-7001
34,6,subcategory-level-one-6001
35,5,subcategory-level-one-5001
36,4,subcategory-level-one-4001
37,3,subcategory-level-one-3001
38,2,subcategory-level-one-2001
39,1,subcategory-level-one-1001
40,12,subcategory-level-one-12002
41,11,subcategory-level-one-11002
42,10,subcategory-level-one-10002
43,9,subcategory-level-one-9002
44,8,subcategory-level-one-8002
45,7,subcategory-level-one-7002
46,6,subcategory-level-one-6002
47,5,subcategory-level-one-5002
48,4,subcategory-level-one-4002
49,3,subcategory-level-one-3002
50,2,subcategory-level-one-2002
51,1,subcategory-level-one-1002
52,12,subcategory-level-one-12003
53,11,subcategory-level-one-11003
54,10,subcategory-level-one-10003
55,9,subcategory-level-one-9003
56,8,subcategory-level-one-8003
57,7,subcategory-level-one-7003
58,6,subcategory-level-one-6003
59,5,subcategory-level-one-5003
60,4,subcategory-level-one-4003
61,3,subcategory-level-one-3003
62,2,subcategory-level-one-2003
63,1,subcategory-level-one-1003
64,12,subcategory-level-one-12004
65,11,subcategory-level-one-11004
66,10,subcategory-level-one-10004
67,9,subcategory-level-one-9004
68,8,subcategory-level-one-8004
69,7,subcategory-level-one-7004
70,6,subcategory-level-one-6004
71,5,subcategory-level-one-5004
72,4,subcategory-level-one-4004
73,3,subcategory-level-one-3004
74,2,subcategory-level-one-2004
75,1,subcategory-level-one-1004
76,12,subcategory-level-one-12005
77,11,subcategory-level-one-11005
78,10,subcategory-level-one-10005
79,9,subcategory-level-one-9005
80,8,subcategory-level-one-8005
81,7,subcategory-level-one-7005
82,6,subcategory-level-one-6005
83,5,subcategory-level-one-5005
84,4,subcategory-level-one-4005
85,3,subcategory-level-one-3005
86,2,subcategory-level-one-2005
87,1,subcategory-level-one-1005
88,12,subcategory-level-one-12006
89,11,subcategory-level-one-11006
90,10,subcategory-level-one-10006
91,9,subcategory-level-one-9006
92,8,subcategory-level-one-8006
93,7,subcategory-level-one-7006
94,6,subcategory-level-one-6006
95,5,subcategory-level-one-5006
96,4,subcategory-level-one-4006
97,3,subcategory-level-one-3006
98,2,subcategory-level-one-2006
99,1,subcategory-level-one-1006
100,12,subcategory-level-one-12007
101,11,subcategory-level-one-11007
102,10,subcategory-level-one-10007
103,9,subcategory-level-one-9007
104,8,subcategory-level-one-8007
105,7,subcategory-level-one-7007
106,6,subcategory-level-one-6007
107,5,subcategory-level-one-5007
108,4,subcategory-level-one-4007
109,3,subcategory-level-one-3007
110,2,subcategory-level-one-2007
111,1,subcategory-level-one-1007
112,12,subcategory-level-one-12008
113,11,subcategory-level-one-11008
114,10,subcategory-level-one-10008
115,9,subcategory-level-one-9008
116,8,subcategory-level-one-8008
117,7,subcategory-level-one-7008
118,6,subcategory-level-one-6008
119,5,subcategory-level-one-5008
120,4,subcategory-level-one-4008
121,3,subcategory-level-one-3008
122,2,subcategory-level-one-2008
123,1,subcategory-level-one-1008
124,12,subcategory-level-one-12009
125,11,subcategory-level-one-11009
126,10,subcategory-level-one-10009
127,9,subcategory-level-one-9009
128,8,subcategory-level-one-8009
129,7,subcategory-level-one-7009
130,6,subcategory-level-one-6009
131,5,subcategory-level-one-5009
132,4,subcategory-level-one-4009
133,3,subcategory-level-one-3009
134,2,subcategory-level-one-2009
135,1,subcategory-level-one-1009
136,12,subcategory-level-one-12010
137,11,subcategory-level-one-11010
138,10,subcategory-level-one-10010
139,9,subcategory-level-one-9010
140,8,subcategory-level-one-8010
141,7,subcategory-level-one-7010
142,6,subcategory-level-one-6010
143,5,subcategory-level-one-5010
144,4,subcategory-level-one-4010
145,3,subcategory-level-one-3010
146,2,subcategory-level-one-2010
147,1,subcategory-level-one-1010
148,12,subcategory-level-one-12011
149,11,subcategory-level-one-11011
150,10,subcategory-level-one-10011
151,9,subcategory-level-one-9011
152,8,subcategory-level-one-8011
153,7,subcategory-level-one-7011
154,6,subcategory-level-one-6011
155,5,subcategory-level-one-5011
156,4,subcategory-level-one-4011
157,3,subcategory-level-one-3011
158,2,subcategory-level-one-2011
159,1,subcategory-level-one-1011
160,12,subcategory-level-one-12012
161,11,subcategory-level-one-11012
162,10,subcategory-level-one-10012
163,9,subcategory-level-one-9012
164,8,subcategory-level-one-8012
165,7,subcategory-level-one-7012
166,6,subcategory-level-one-6012
167,5,subcategory-level-one-5012
168,4,subcategory-level-one-4012
169,3,subcategory-level-one-3012
170,2,subcategory-level-one-2012
171,1,subcategory-level-one-1012
172,12,subcategory-level-one-12013
173,11,subcategory-level-one-11013
174,10,subcategory-level-one-10013
175,9,subcategory-level-one-9013
176,8,subcategory-level-one-8013
177,7,subcategory-level-one-7013
178,6,subcategory-level-one-6013
179,5,subcategory-level-one-5013
